epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.6827,3.50589,7.87553,1.55901,0.00032,0.03323,0.00088,0.00045,3.25323,4.96724,1.30591,0.00033165,0.00033165,0.00033165
2,126.023,2.9356,5.34315,1.2242,0.06266,0.11063,0.04151,0.01638,2.82093,3.67053,1.16812,0.0006584,0.0006584,0.0006584
3,184.343,2.70842,4.38624,1.14036,0.33802,0.2168,0.20943,0.08994,2.58252,2.86386,1.09831,0.00097855,0.00097855,0.00097855
4,242.327,2.5677,3.74982,1.10177,0.28152,0.35637,0.26028,0.11191,2.55934,2.53004,1.10219,0.0009703,0.0009703,0.0009703
5,299.728,2.41906,3.29909,1.06222,0.41622,0.35936,0.34237,0.15271,2.36827,2.42721,1.03949,0.0009604,0.0009604,0.0009604
6,356.43,2.34408,3.0179,1.04103,0.48016,0.39938,0.44757,0.1985,2.32462,2.17721,1.02924,0.0009505,0.0009505,0.0009505
7,413.587,2.30576,2.79665,1.03558,0.4778,0.4755,0.45069,0.20003,2.21219,2.15572,1.00377,0.0009406,0.0009406,0.0009406
8,470.409,2.24726,2.63392,1.01274,0.54568,0.49655,0.48289,0.22044,2.25265,2.04747,1.00655,0.0009307,0.0009307,0.0009307
9,528.099,2.17425,2.39175,1.00568,0.62295,0.55969,0.57914,0.24902,2.12501,1.81997,0.9853,0.0009208,0.0009208,0.0009208
10,588.19,2.12835,2.25224,0.99409,0.66216,0.52598,0.59037,0.26691,2.10008,1.74569,0.98997,0.0009109,0.0009109,0.0009109
11,646.208,2.12765,2.1516,1.01317,0.69388,0.60615,0.63873,0.27358,2.16024,1.61271,1.01063,0.000901,0.000901,0.000901
12,712.061,2.16911,2.1046,1.00397,0.80968,0.50469,0.64009,0.26137,2.10555,1.68903,0.98099,0.0008911,0.0008911,0.0008911
13,795.087,2.095,2.03825,0.98819,0.72282,0.58724,0.65196,0.29918,2.06701,1.56749,0.97874,0.0008812,0.0008812,0.0008812
14,879.82,2.06673,1.9304,0.9758,0.69315,0.63268,0.66229,0.3146,2.03945,1.65661,0.97034,0.0008713,0.0008713,0.0008713
15,950.023,2.03099,1.87563,0.9622,0.83726,0.53256,0.67764,0.31688,2.02408,1.59955,0.96789,0.0008614,0.0008614,0.0008614
16,1033.6,2.0374,1.74089,0.98251,0.74468,0.6538,0.70315,0.32853,2.01989,1.49218,0.96719,0.0008515,0.0008515,0.0008515
17,1113.52,1.99893,1.76146,0.97818,0.81788,0.68722,0.75244,0.35037,1.95157,1.35763,0.9592,0.0008416,0.0008416,0.0008416
