epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,217.404,2.38059,5.32226,1.44583,0.50052,0.65143,0.54803,0.2338,1.52056,14.4923,0.9999,0.00333099,0.00333099,0.00333099
2,422.87,2.00769,2.73317,1.24942,0.6109,0.76147,0.67276,0.30465,1.43993,7.4152,0.97399,0.00659835,0.00659835,0.00659835
3,626.059,1.98805,2.0833,1.25795,0.66666,0.73303,0.71719,0.32177,1.47076,6.08577,1.00532,0.0097997,0.0097997,0.0097997
4,826.842,1.97992,1.73059,1.26002,0.74936,0.75791,0.80693,0.37278,1.4236,3.31247,0.97835,0.009703,0.009703,0.009703
5,1030.52,1.91737,1.52513,1.22784,0.75782,0.79905,0.81971,0.38284,1.42718,7.11463,0.97796,0.009604,0.009604,0.009604
6,1252.64,1.88165,1.40182,1.21545,0.88544,0.85307,0.91276,0.44311,1.38736,2.60387,0.96271,0.009505,0.009505,0.009505
7,1451.4,1.8447,1.32478,1.20097,0.8773,0.79285,0.89289,0.43233,1.40311,1.18165,0.96304,0.009406,0.009406,0.009406
8,1658.86,1.82237,1.26439,1.19312,0.9236,0.88847,0.93766,0.45991,1.35441,3.01379,0.94099,0.009307,0.009307,0.009307
9,1859.38,1.80936,1.19915,1.17956,0.90844,0.89666,0.94043,0.47085,1.33451,1.1041,0.93297,0.009208,0.009208,0.009208
10,2056.92,1.79305,1.17186,1.17352,0.92779,0.85555,0.93061,0.46113,1.34382,1.02699,0.93126,0.009109,0.009109,0.009109
11,2255.04,1.77609,1.15469,1.16083,0.91993,0.87597,0.94112,0.47446,1.3422,1.10747,0.93118,0.00901,0.00901,0.00901
12,2454.57,1.77947,1.10733,1.16255,0.96945,0.92507,0.96391,0.48426,1.33249,1.83866,0.92251,0.008911,0.008911,0.008911
13,2731.91,1.767,1.10215,1.15548,0.91694,0.89933,0.9459,0.48704,1.29872,0.7638,0.91477,0.008812,0.008812,0.008812
14,2930.74,1.74743,1.0564,1.15042,0.91834,0.8714,0.94478,0.47964,1.315,0.7596,0.91605,0.008713,0.008713,0.008713
15,3130.08,1.73922,1.03691,1.15015,0.96601,0.94325,0.96903,0.50009,1.30485,1.37702,0.91597,0.008614,0.008614,0.008614
16,3333.71,1.73287,1.01267,1.15251,0.95879,0.93901,0.96828,0.50747,1.28326,1.16306,0.90741,0.008515,0.008515,0.008515
17,3532.71,1.72648,1.00487,1.14179,0.95771,0.94345,0.96733,0.5007,1.29705,1.59499,0.91289,0.008416,0.008416,0.008416
18,3734.81,1.73009,0.99534,1.14194,0.96112,0.94346,0.9736,0.51182,1.296,0.75739,0.90927,0.008317,0.008317,0.008317
19,3947.22,1.70426,0.95907,1.13327,0.96501,0.94711,0.97223,0.51169,1.28546,0.96667,0.90402,0.008218,0.008218,0.008218
20,4146.33,1.70783,0.95857,1.12764,0.97298,0.94958,0.97794,0.52497,1.27174,0.67679,0.89569,0.008119,0.008119,0.008119
21,4345.77,1.70013,0.94464,1.12612,0.968,0.94735,0.97447,0.51924,1.27349,0.74583,0.89699,0.00802,0.00802,0.00802
22,4554.83,1.68531,0.92689,1.12351,0.97045,0.96141,0.97462,0.52863,1.26276,0.87696,0.89031,0.007921,0.007921,0.007921
23,4770.58,1.68629,0.92438,1.12234,0.97202,0.96083,0.9818,0.52459,1.26894,0.78033,0.8906,0.007822,0.007822,0.007822
24,4970.84,1.67836,0.90407,1.1155,0.96483,0.95413,0.97608,0.52644,1.2636,0.58174,0.89013,0.007723,0.007723,0.007723
25,5170.07,1.68173,0.91905,1.12577,0.97109,0.9537,0.97681,0.52295,1.27427,0.87863,0.89033,0.007624,0.007624,0.007624
26,5372.05,1.67198,0.89669,1.11067,0.96158,0.96729,0.97637,0.53471,1.24935,0.61047,0.88113,0.007525,0.007525,0.007525
27,5575.02,1.65911,0.8832,1.10899,0.97457,0.96056,0.97854,0.5371,1.25091,0.59438,0.88264,0.007426,0.007426,0.007426
28,5778.24,1.66717,0.87888,1.10938,0.97303,0.96009,0.97584,0.53215,1.25296,0.85628,0.88197,0.007327,0.007327,0.007327
29,5981.36,1.65239,0.87511,1.10204,0.97343,0.96045,0.97787,0.53903,1.24359,0.79678,0.88223,0.007228,0.007228,0.007228
30,6184.3,1.65148,0.87157,1.10269,0.96566,0.96489,0.97628,0.54036,1.23738,0.63494,0.87745,0.007129,0.007129,0.007129
31,6386.22,1.64443,0.8585,1.10031,0.97668,0.96297,0.97995,0.53258,1.24029,0.58483,0.87814,0.00703,0.00703,0.00703
32,6592.28,1.64702,0.85265,1.10422,0.97626,0.96823,0.98142,0.54404,1.24071,0.55061,0.87426,0.006931,0.006931,0.006931
33,6792.61,1.63744,0.83466,1.09762,0.96812,0.97324,0.98308,0.55121,1.24421,0.55097,0.8773,0.006832,0.006832,0.006832
34,6993.49,1.63165,0.84211,1.0999,0.9751,0.96976,0.98382,0.54356,1.23948,0.57713,0.87684,0.006733,0.006733,0.006733
35,7197.43,1.63656,0.8394,1.0998,0.96896,0.97589,0.98132,0.54412,1.23528,0.52626,0.87504,0.006634,0.006634,0.006634
36,7401.16,1.63211,0.83563,1.09441,0.97669,0.97539,0.98322,0.54512,1.23092,0.53834,0.87096,0.006535,0.006535,0.006535
37,7604.8,1.61522,0.8161,1.09026,0.9712,0.97226,0.98083,0.54556,1.22145,0.5722,0.86763,0.006436,0.006436,0.006436
38,7808.21,1.6166,0.81468,1.08896,0.97748,0.97172,0.98334,0.54648,1.22624,0.61011,0.87166,0.006337,0.006337,0.006337
39,8011.59,1.62001,0.81718,1.09558,0.97457,0.97002,0.9809,0.55134,1.21592,0.54975,0.86653,0.006238,0.006238,0.006238
40,8216.28,1.62075,0.82043,1.08459,0.97814,0.97859,0.9844,0.55605,1.21381,0.51259,0.86691,0.006139,0.006139,0.006139
41,8421.88,1.5995,0.79734,1.07861,0.97531,0.97714,0.98678,0.56063,1.21253,0.56703,0.86401,0.00604,0.00604,0.00604
42,8627.15,1.5995,0.79389,1.08296,0.98075,0.97315,0.98376,0.55797,1.21233,0.51675,0.86174,0.005941,0.005941,0.005941
43,8832.22,1.59889,0.78997,1.07687,0.9743,0.9777,0.98484,0.5599,1.20908,0.51832,0.86393,0.005842,0.005842,0.005842
44,9037.56,1.60128,0.80122,1.07797,0.97245,0.9766,0.98453,0.56165,1.21263,0.62004,0.86194,0.005743,0.005743,0.005743
45,9241.88,1.58662,0.77713,1.07968,0.97578,0.97269,0.98427,0.55817,1.21562,0.51885,0.86262,0.005644,0.005644,0.005644
46,9447.03,1.58616,0.78214,1.07424,0.97786,0.97577,0.98339,0.56253,1.19493,0.49666,0.85825,0.005545,0.005545,0.005545
47,9654.39,1.58112,0.77221,1.07287,0.97107,0.9816,0.98647,0.56432,1.20126,0.5132,0.8595,0.005446,0.005446,0.005446
48,9866.3,1.57736,0.7699,1.07923,0.9734,0.97407,0.98236,0.5665,1.19942,0.50439,0.85866,0.005347,0.005347,0.005347
49,10070.4,1.57562,0.76612,1.07367,0.97422,0.97183,0.98485,0.56629,1.20326,0.48454,0.85857,0.005248,0.005248,0.005248
50,10270.6,1.56944,0.75317,1.06838,0.97953,0.9795,0.98588,0.56465,1.20182,0.49105,0.85653,0.005149,0.005149,0.005149
